digit-count, rune-count, dict-words-count, slash-count, colon-count, dash-count, dot-count, class
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 52, 0, 3, 0, 3, 0, url
0, 23, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 54, 0, 3, 0, 3, 0, url
0, 26, 2, 0, 0, 1, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 82, 0, 3, 0, 9, 0, url
0, 58, 6, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
0, 18, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 48, 0, 3, 0, 3, 0, url
3, 42, 0, 3, 0, 2, 0, url
0, 12, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 54, 0, 3, 0, 4, 0, url
0, 28, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 36, 0, 3, 0, 1, 0, url
0, 6, 0, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 38, 0, 3, 0, 1, 0, url
0, 9, 0, 0, 0, 0, 1, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 41, 0, 3, 0, 2, 0, url
0, 11, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
3, 61, 0, 3, 0, 4, 0, url
0, 34, 3, 0, 0, 1, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 28, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 57, 0, 3, 0, 4, 0, url
4, 39, 0, 3, 0, 2, 0, url
0, 9, 1, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
6, 54, 0, 3, 0, 6, 0, url
3, 26, 2, 0, 1, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 40, 0, 3, 0, 3, 0, url
0, 10, 3, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
1, 43, 0, 3, 0, 2, 0, url
0, 13, 0, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 33, 0, 3, 0, 1, 0, url
0, 3, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
4, 64, 0, 3, 0, 5, 0, url
0, 39, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 61, 0, 3, 0, 5, 0, url
0, 36, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 44, 0, 3, 0, 3, 0, url
0, 19, 2, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
3, 49, 5, 0, 1, 1, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 75, 0, 3, 0, 9, 0, url
5, 64, 0, 3, 0, 5, 0, url
0, 39, 0, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
0, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 38, 0, 3, 0, 1, 0, url
0, 8, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
2, 60, 0, 3, 0, 5, 0, url
0, 34, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 50, 0, 3, 0, 4, 0, url
0, 20, 3, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
1, 38, 0, 3, 0, 2, 0, url
0, 8, 1, 0, 0, 0, 0, title
0, 28, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 57, 0, 3, 0, 4, 0, url
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 48, 0, 3, 0, 3, 0, url
0, 18, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 35, 0, 3, 0, 1, 0, url
0, 5, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 42, 0, 3, 0, 2, 0, url
0, 12, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 39, 0, 3, 0, 2, 0, url
0, 9, 0, 0, 0, 1, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 48, 0, 3, 0, 3, 0, url
0, 18, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 9, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 39, 0, 3, 0, 2, 0, url
6, 35, 0, 3, 0, 1, 0, url
0, 5, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 40, 0, 3, 0, 2, 0, url
0, 10, 0, 0, 0, 1, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 43, 0, 3, 0, 3, 0, url
0, 13, 3, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 36, 0, 3, 0, 1, 0, url
0, 6, 0, 0, 0, 0, 0, title
2, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 43, 0, 3, 0, 3, 0, url
0, 14, 1, 0, 0, 0, 1, title
2, 48, 0, 3, 0, 3, 0, url
0, 18, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 51, 0, 3, 0, 5, 0, url
0, 21, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 44, 0, 3, 0, 2, 0, url
0, 14, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 36, 0, 3, 0, 1, 0, url
0, 6, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 37, 0, 3, 0, 1, 0, url
0, 7, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 26, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
5, 56, 0, 3, 0, 3, 0, url
1, 78, 0, 3, 0, 8, 0, url
0, 55, 4, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 75, 0, 3, 0, 8, 0, url
1, 54, 2, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
3, 35, 0, 3, 0, 1, 0, url
0, 5, 0, 0, 0, 0, 0, title
0, 3, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 33, 0, 3, 0, 1, 0, url
5, 53, 0, 3, 0, 4, 0, url
0, 23, 4, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 39, 0, 3, 0, 2, 0, url
0, 9, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 51, 0, 3, 0, 4, 0, url
0, 21, 0, 0, 0, 0, 1, title
1, 34, 0, 3, 0, 1, 0, url
0, 4, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 18, 2, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 48, 0, 3, 0, 3, 0, url
0, 8, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 38, 0, 3, 0, 1, 0, url
2, 47, 0, 3, 0, 9, 0, url
0, 17, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
1, 53, 0, 3, 0, 5, 0, url
0, 24, 1, 0, 0, 1, 1, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
1, 45, 0, 3, 0, 2, 0, url
0, 15, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
0, 13, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 43, 0, 3, 0, 3, 0, url
2, 42, 0, 3, 0, 3, 0, url
0, 12, 3, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
3, 61, 0, 3, 0, 6, 0, url
0, 31, 6, 0, 0, 0, 0, title
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 52, 0, 3, 0, 3, 0, url
0, 23, 1, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 43, 0, 3, 0, 3, 0, url
0, 13, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
4, 38, 0, 3, 0, 1, 0, url
0, 8, 0, 0, 0, 0, 0, title
2, 8, 0, 0, 0, 0, 0, date-component-day-month
4, 5, 0, 0, 1, 0, 0, date-component-time
2, 8, 0, 0, 0, 0, 0, date-component-day-month
